"product_code","invoice_expired_dt","establishment_id","paid"
delivery,2024-03-02,13,99.9000000000000000
delivery,2024-04-02,13,99.9000000000000000
delivery,2024-05-02,13,99.9000000000000000
delivery,2024-03-01,21,99.9000000000000000
delivery,2024-03-02,21,85.0000000000000000
delivery,2024-03-01,30,99.9000000000000000
delivery,2024-04-01,30,99.9000000000000000
mobile,2024-03-01,49,184.9000000000000000
cardapio_digital,2024-12-20,50,527.0600000000000000
cardapio_digital,2025-01-20,50,527.0600000000000000
cardapio_digital,2024-12-05,51,1734.61000000000000000000
cardapio_digital,2025-01-05,51,1734.61000000000000000000
cardapio_digital,2025-02-05,51,1734.61000000000000000000
mobile,2024-12-05,51,0.00000000000000000000
mobile,2025-01-05,51,0.00000000000000000000
mobile,2025-02-05,51,0.00000000000000000000
delivery,2024-03-01,61,99.9000000000000000
cardapio_digital,2024-12-15,63,1346.9000000000000000
cardapio_digital,2025-01-15,63,1346.9000000000000000
delivery,2024-03-01,65,99.9000000000000000
delivery,2024-04-01,65,99.9000000000000000
cardapio_digital,2025-01-25,67,331.0600000000000000
cardapio_digital,2025-01-10,68,1642.1000000000000000
cardapio_digital,2024-12-25,69,300.0000000000000000
cardapio_digital,2025-01-25,69,300.0000000000000000
cardapio_digital,2025-01-25,71,230.2000000000000000
mobile,2025-01-25,71,127.4500000000000000
mobile,2024-12-10,72,199.6400000000000000
cardapio_digital,2024-12-25,73,306.9800000000000000
cardapio_digital,2025-01-25,73,306.9800000000000000
cardapio_digital,2024-12-10,75,803.4400000000000000
cardapio_digital,2025-01-10,75,724.5600000000000000
mobile,2025-01-20,79,153.7500000000000000
cardapio_digital,2024-12-10,83,403.6000000000000000
cardapio_digital,2025-01-10,83,403.6000000000000000
cardapio_digital,2024-12-20,86,560.00000000000000000000
cardapio_digital,2025-01-20,86,560.00000000000000000000
cardapio_digital,2024-12-27,89,324.7300000000000000
cardapio_digital,2025-01-24,89,385.0400000000000000
cardapio_digital,2024-12-10,90,753.5600000000000000
cardapio_digital,2025-01-10,90,753.5600000000000000
cardapio_digital,2024-10-25,92,889.9000000000000000
cardapio_digital,2024-11-25,92,639.9500000000000000
cardapio_digital,2024-12-25,92,639.9500000000000000
cardapio_digital,2025-01-25,92,639.9500000000000000
cardapio_digital,2024-12-20,95,466.6500000000000000
cardapio_digital,2025-01-20,95,466.6500000000000000
