"establishment_id","event_month","product","accumulated_mrr"
13,2024-03-01 00:00:00.000 -0300,delivery,99.90000000000000000000
13,2024-06-01 00:00:00.000 -0300,delivery,0.00000000000000000000
21,2024-03-01 00:00:00.000 -0300,delivery,184.90000000000000000000
21,2024-04-01 00:00:00.000 -0300,delivery,0.00000000000000000000
30,2024-03-01 00:00:00.000 -0300,delivery,99.90000000000000000000
30,2024-05-01 00:00:00.000 -0300,delivery,0.00000000000000000000
49,2024-03-01 00:00:00.000 -0300,mobile,184.90000000000000000000
49,2024-04-01 00:00:00.000 -0300,mobile,0.00000000000000000000
50,2024-11-01 00:00:00.000 -0300,cardapio_digital,527.06000000000000000000
51,2024-11-01 00:00:00.000 -0300,cardapio_digital,1734.61000000000000000000
51,2024-11-01 00:00:00.000 -0300,mobile,0.00000000000000000000
61,2024-03-01 00:00:00.000 -0300,delivery,99.90000000000000000000
61,2024-04-01 00:00:00.000 -0300,delivery,0.00000000000000000000
63,2024-11-01 00:00:00.000 -0300,cardapio_digital,1346.90000000000000000000
65,2024-03-01 00:00:00.000 -0300,delivery,99.90000000000000000000
65,2024-05-01 00:00:00.000 -0300,delivery,0.00000000000000000000
67,2024-12-01 00:00:00.000 -0300,cardapio_digital,331.06000000000000000000
67,2025-01-01 00:00:00.000 -0300,cardapio_digital,331.06000000000000000000
68,2024-11-01 00:00:00.000 -0300,cardapio_digital,1642.10000000000000000000
68,2025-01-01 00:00:00.000 -0300,cardapio_digital,1873.73000000000000000000
69,2024-11-01 00:00:00.000 -0300,cardapio_digital,300.00000000000000000000
71,2024-11-01 00:00:00.000 -0300,cardapio_digital,214.75000000000000000000
71,2024-11-01 00:00:00.000 -0300,mobile,127.45000000000000000000
71,2025-01-01 00:00:00.000 -0300,cardapio_digital,230.20000000000000000000
71,2025-01-01 00:00:00.000 -0300,mobile,127.45000000000000000000
72,2024-11-01 00:00:00.000 -0300,mobile,199.64000000000000000000
72,2025-01-01 00:00:00.000 -0300,mobile,0.00000000000000000000
